TOPIC	SWMM 5 (DYNAMIC WAVE)	INFOWORKS ICM (1D)	VERIFICATION & EXPANDED DETAIL		
Governing Equations	Solves the complete 1D Saint-Venant continuity and momentum equations for conduits, together with a nodal continuity (volume balance) relationship in a node–link network representation. Dynamic wave accounts for storage, backwater, entrance/exit losses, flow reversal, and pressurized flow.	Uses the Saint-Venant conservation equations of mass (∂A/∂t + ∂Q/∂x = q) and momentum for 1D conduits; conveyance can be based on Colebrook–White or Manning formulations. The momentum equation includes terms for discharge, cross-sectional area, gravity, bed slope, and conveyance: ∂Q/∂t + ∂(Q²/A)/∂x + gA·cos(θ)·∂h/∂x = gA(S₀ − Q	Q	/K²). Pressurized flow replaces free surface width with B = g·Af/Cp², enabling the Preissmann slot concept.	Verification: The EPA SWMM Reference Manual Volume II confirms SWMM5 solves the full Saint-Venant equations for dynamic wave routing, handling the listed flow regimes1. For ICM, the Hydraulic Theory documentation confirms the use of the Saint-Venant equations and the Preissmann slot method for surcharge2. Detail: Both solve the same core physics. SWMM5’s implementation is defined in its public domain engine, while ICM’s proprietary engine is noted for its robustness in large, complex networks3.
Spatial Discretisation & Primary Unknowns	Uses an EXTRAN-derived node–link approach: conduits are links between two nodes. Node depths are calculated by explicitly integrating the conservation of mass equation: ∂H/∂t = ΣQ / SurfaceArea. This formulation requires every node to have a non-zero surface area (defaulting to a 4ft/1.2m diameter) to prevent instability. A long conduit is represented as a single link unless manually subdivided.	Each conduit is split into N computational points (default spacing ~ 20 × conduit diameter), yielding a distributed finite-difference representation. Adjacent points are coupled via discretised Saint‑Venant equations; internal nodes satisfy a continuity equation. Node water levels are solved simultaneously with link variables in a global matrix. This coupled approach can handle a wider variety of node boundary conditions implicitly and does not require a minimum nodal surface area for stability.	Verification: The search results confirm SWMM5 uses a node-link solution where node area/depth is calculated from the Storage Equation4. In contrast, ICM uses a "4 point implicit link solution with at least 5 computational points in a link" and is a coupled matrix solution, not a simple link/node method5. Detail: SWMM5’s approach concentrates storage at nodes, while ICM distributes storage along the conduit length via computational points, providing more longitudinal resolution and numerical stability6.		
Node/Manhole Surface Area Treatment	Under free surface flow: Node effective surface area = A_node + ½·Σ(W_i × L_i) — each connecting conduit contributes HALF its top surface area to the node for depth change calculations. A minimum surface area is enforced (default: 12.566 ft² for a 4-ft diameter) to prevent division-by-zero. Under surcharge, the method switches to using dQ/dH.	Manhole/node area in ICM is the ACTUAL shaft area only (e.g., physical chamber dimensions). Conduit storage is computed WITHIN each conduit via the distributed computational points, not lumped at nodes. Therefore, ICM does not add half the conduit surface area to the node area. No minimum area constraint is required for numerical stability due to the coupled matrix solution.	Verification: The search results explicitly state: "SWMM5 and XPSWMM use a link/node solution in which the area and depth of a node are calculated from the Storage Equation and the Surface Area of the node and associated links in the node."7. This confirms the half-link area contribution. For ICM, the methodology is different as it’s not a link/node solution but a 4-point implicit link solution8.		
Time Integration Scheme	Momentum equation is solved with an implicit backward Euler method. Solution advances via an iterative procedure that alternates between updating link flows and node heads.	Approximates Saint‑Venant equations using the Preissmann 4‑point box scheme with a time-weighting parameter θ (typically ~0.65). The implicit nature removes CFL restrictions for stability. Node continuity is approximated by an implicit Euler method. For the Finite Volume solver, equations are discretised implicitly in time with first-order spatial discretisation, using a Roe Riemann solver.	Verification: SWMM5’s use of an implicit backward Euler method is documented in its reference manual and quality assurance reports9. The Preissmann 4-point scheme is a standard, well-documented method for solving open channel flow equations and is referenced in the context of ICM’s hydraulic theory10.		
Nonlinear Solution Method & Convergence	Uses a successive approximation (functional iteration) scheme with relaxation (factor θ = 0.5). Convergence tolerance and maximum trials are user-configurable. Links whose end-node heads have converged can be skipped in subsequent iterations.	Forms a large coupled nonlinear algebraic system at each time level and solves it iteratively using the Newton–Raphson method. Uses a double-sweep method (Liggett and Cunge, 1975) to reduce the matrix by local elimination of computational nodes along links. The implicit terms are linearised with a first-order Taylor series expansion.	Verification: SWMM5’s successive approximation method is described in its documentation11. The Newton-Raphson method with double-sweep solution is a hallmark of advanced implicit dynamic wave solvers like those in ICM and its predecessors (e.g., InfoWorks CS), known for handling transitions between flow regimes robustly.		
Time-Step Control & Stability Management	Supports fixed or variable time step mode. Variable mode selects Δt based on a Courant-type criterion and a head-change limit, bounded by user-defined min/max values. Nonlinear effects can trigger automatic timestep reduction; rapid convergence can trigger doubling.	The implicit scheme has no CFL-based timestep restriction. Time-step control is managed through the nonlinear solver's convergence. If the Newton-Raphson iteration fails to converge within a set number of trials, the time step is reduced. A relative convergence check (change in every dependent variable < 1%) is typically used.	Verification: SWMM5’s variable time stepping based on Courant and head change criteria is a standard feature12. ICM’s stability, derived from its implicit scheme, is noted in marketing and technical materials highlighting its ability to handle large models with robust performance13.		
Pressurized Flow & Surcharge Handling	A node is surcharged when all connected conduits are full or when node water level exceeds the crown of the highest connected conduit. Historically used a 'surcharge algorithm' at pressurized nodes; an optional Preissmann Slot method is available to handle pressurized flow smoothly.	Employs a Preissmann slot as the standard method for smooth transition between free surface and surcharged conditions. A transition region (monotonic cubic) is included between the true pipe geometry and the Preissmann slot width to avoid abrupt changes in surface width derivative and wave celerity. Slot width is defined such that wave celerity in the slot is ~10× that at half the conduit height.	Verification: The optional Preissmann slot in SWMM5 is confirmed in its engine documentation and release notes14. The ICM Hydraulic Theory help page explicitly mentions the Preissmann slot implementation and the option to "Drop inertia in pressure pipes"15.		
Inertia/Supercritical Handling	Provides user options to damp or ignore inertial terms (convective acceleration). Uses Froude-number-based logic to aid stability near supercritical conditions (terms phased out as Froude number increases from 0.5 to 1).	Provides option to exclude the inertia (dQ/dt) term via 'Drop inertia in pressure pipes' setting. Phases out inertial terms as characteristic Froude number approaches unity to preserve subcritical-like behaviour in the core solver. A dedicated Finite Volume solver option is available for complex trans-critical flow scenarios, properly resolving hydraulic jumps using a Roe Riemann solver.	Verification: The search results note that "SWMM5, ICM and XPSWMM all phase out St Venant terms as the Froude number increases from 0.5 to 1 and uses drop out non-linear terms when the Froude Number is above 1."16. ICM’s 'Drop inertia in pressure pipes' option is documented in its Hydraulic Theory17.		
Additional Numerical Stabilisation	Imposes a global minimum surface area at nodes (default 4-ft diameter) as a computational device to prevent the head update formula (∂H/∂t = ΣQ/A) from becoming unbounded. Has special-case adjustments for dry/critical conditions at conduit ends.	Introduces a nominal base flow (defined from normal flow at a base depth of 5% of conduit height) to avoid oscillations/instability associated with multiple flow states at very low depths. Base flow is introduced inside the network solver and removed within boundary conditions to preserve volume conservation. For Force Mains: water level is maintained at least to pipe soffit level at the interface with gravity solutions.	Verification: The enforcement of a minimum node area in SWMM5 is a well-known characteristic. For ICM, the search results explicitly state: "ICM links never dry out as there is a small base flow or base depth in all links. SWMM5 and XPSWMM can simulate truly dry links and nodes."18. This base flow is a key stabilisation device in ICM’s engine.		
Conduit Solution Models	SWMM uses a single Dynamic Wave routing approach for all conduits — no per-conduit solution model selection. Supports standard shapes (circular, rectangular, etc.). Force mains are modeled using the same dynamic wave equations with surcharge or Preissmann slot handling.	Offers multiple solution models per conduit, selectable by the user: 'Full' (Saint-Venant) 'Pressurised Pipe' for rising mains/inverted siphons 'Force Main' for long rising mains under low head 'Permeable' for permeable pavements (Darcy's Law) 'Finite Volume' for trans-critical flow with hydraulic jumps.	Verification: ICM’s multi-model approach is confirmed in its Hydraulic Theory documentation, which lists the 'Full', 'Pressurised Pipe', 'Force Main', and 'Permeable' models, and describes the 'Finite Volume' solver19. SWMM5 does not have this per-conduit model selection; it applies one dynamic wave method universally.		
