TOPIC	SWMM 5 (DYNAMIC WAVE)	INFOWORKS ICM (1D)	VERIFICATION & ADDITIONAL DETAIL		
Governing Equations	Solves the complete 1D Saint-Venant continuity and momentum equations for conduits, together with a nodal continuity (volume balance) relationship in a node–link network representation.	Uses the Saint-Venant conservation equations of mass (∂A/∂t + ∂Q/∂x = q) and momentum for 1D conduits. The momentum equation includes terms for discharge, cross-sectional area, gravity, bed slope, and conveyance: ∂Q/∂t + ∂(Q²/A)/∂x + gA·cos(θ)·∂h/∂x = gA(S₀ − Q	Q	/K²).	Verified: Both solvers fundamentally solve the 1D Saint-Venant equations, making them theoretically comparable for free surface flow. Key Difference: SWMM5 applies one unified "Dynamic Wave" approach to all conduits. ICM allows the user to select different solution models per conduit (e.g., 'Full', 'Pressurised Pipe', 'Force Main', 'Permeable', 'Finite Volume') to optimize for specific flow conditions (e.g., trans-critical flow, rising mains).
Spatial Discretisation & Primary Unknowns	Uses an EXTRAN-derived node–link approach: conduits are links between nodes. A single conduit is one computational link; finer longitudinal resolution requires manual subdivision. Node depths are calculated by explicitly integrating the conservation of mass equation: ∂H/∂t = ΣQ / SurfaceArea.	Each conduit is split into N computational points (default spacing ~ 20 × conduit diameter), yielding a distributed finite-difference representation. Node water levels are solved simultaneously with link variables in a global matrix.	Verified: "SWMM5 and XPSWMM use a link/node solution… ICM uses a 4 point implicit link solution with at least 5 computational points in a link." Key Difference: SWMM5 concentrates storage at nodes with a single computational point per conduit. ICM distributes storage along conduits via multiple computational points, providing superior longitudinal resolution without manual subdivision. Stability Impact: ICM's coupled matrix approach eliminates the need for minimum node area constraints that SWMM5 requires.		
Node/Manhole Surface Area Treatment	Node effective surface area = Anode + ½·Σ(Wi × Li). Connecting conduits contribute half their top surface area. Requires a minimum surface area (default: 12.566 ft², 4-ft diameter) to prevent division-by-zero errors in the head update formula.	Manhole/node area is the ACTUAL shaft area only (e.g., 1.2m diameter circle). Conduit storage is computed within the conduit via distributed points; no addition of half-link area to the node. No minimum area constraint is required.	Verified: The SWMM5 formula is standard in the reference manual. ICM's approach is fundamentally different, using only the physical shaft area for node storage. Critical Design Implication: In SWMM5, modelers must be aware that half of each connecting conduit's surface area is automatically added to the node. In ICM, node area represents only the physical manhole shaft. Workaround Note: SWMM5 users modeling pump stations or storage structures must use "dummy links" to isolate storage volumes from conduit area contributions—a complexity not required in ICM.		
Time Integration Scheme	Momentum equation is solved with an implicit backward Euler method. Solution advances from t to t+Δt via an iterative procedure that alternates between updating link flows and node heads.	Approximates Saint-Venant equations using the Preissmann 4-point box scheme with a time-weighting parameter θ (θ ≈ 0.65). Node continuity is approximated by an implicit Euler method.	Verified: SWMM5's implicit backward Euler and ICM's Preissmann scheme are both implicit, removing CFL restrictions for stability. Numerical Diffusion: ICM's Preissmann scheme with θ < 1 introduces numerical diffusion for stability, which can smear sharp wave fronts compared to a purely theoretical solution.		
Nonlinear Solution Method & Convergence	Uses a successive approximation (functional iteration) scheme with relaxation. Convergence tolerance and maximum trials are user-configurable.	Forms a large coupled nonlinear algebraic system and solves it iteratively using the Newton–Raphson method. Uses a double-sweep method to reduce the matrix by local elimination of computational nodes along links.	Verified: SWMM5 uses simpler functional iteration; ICM employs the more robust Newton-Raphson method within a coupled matrix solution. Stability Impact: ICM's Newton-Raphson approach is generally more stable for complex networks and flow transitions than SWMM5's functional iteration.		
Time-Step Control & Stability Management	Supports a fixed or variable time step. Variable time step mode selects the next Δt based on a Courant-type criterion and a head-change limit, bounded by user-supplied Δtmin and Δtmax.	The implicit scheme has no CFL-based timestep restriction. Manages time steps through Newton-Raphson convergence failures; rapid convergence can trigger timestep doubling. Uses a relative convergence check (< 1% change).	Verified: Both allow variable time stepping, but ICM's implicit scheme is theoretically unconditionally stable, though practical limits exist for convergence. Key Difference: SWMM5's variable timestep is limited by the Courant condition in practice. ICM's timestep is limited primarily by Newton-Raphson convergence, which can be influenced by network complexity and flow regime transitions.		
Pressurised Flow & Surcharge Handling	Historically used a 'surcharge algorithm'. An alternative Preissmann Slot method is available to handle pressurized flow while retaining the regular head-updating method.	Employs a Preissmann slot for smooth transition between free surface and surcharged conditions. A transition region (monotonic cubic) is included between the true pipe geometry and the slot.	Verified: ICM standardly uses a Preissmann slot with a smooth transition region. SWMM5 offers it as an alternative to its traditional surcharge method. Key Difference: ICM's implementation is tightly integrated with its finite-difference scheme. SWMM5's alternative slot method must be enabled by the user and operates alongside the node-based depth update.		
Inertia/Supercritical Handling	Provides options to damp or ignore inertial terms (e.g., local inertial formulation). Uses Froude-number-based logic to help with stability near supercritical conditions.	Offers option to exclude the inertia (dQ/dt) term via 'Drop inertia in pressure pipes' setting. Phases out inertial terms as characteristic Froude number approaches unity. Finite Volume solver option available for complex trans-critical flow scenarios.	Verified: Both offer inertia damping options. ICM provides a dedicated Finite Volume solver for complex trans-critical flow (hydraulic jumps), which SWMM5 lacks natively. Key Difference: ICM's specialized Finite Volume solver is a significant advantage for trans-critical flow with hydraulic jumps. SWMM5 users must rely on approximations (e.g., local inertial option) or avoid such flow regimes.		
Additional Numerical Stabilisation	Imposes a global minimum surface area at nodes (default 4-ft diameter manhole) to prevent head update instability. Has multiple special-case adjustments for dry/critical conditions at conduit ends.	Introduces a nominal base flow (defined from normal flow at a base depth of 5% of conduit height) to avoid oscillations at low depths. For Force Mains, water level is maintained at least to pipe soffit level.	Verified: SWMM5 relies on minimum node area and special adjustments. ICM uses a nominal base flow to ensure stability in low-flow conditions. Key Difference: ICM's base flow simplifies stability in dry-weather flow modeling. SWMM5's minimum area is a more "brute-force" stability device. Workaround Note: SWMM5's minimum area can affect the hydrograph routing of small flows at junctions; modelers should test sensitivity. ICM's base flow is generally transparent to the user but means the network is never truly dry.		
Conduit Solution Models	Uses a single Dynamic Wave routing approach for all conduits. Force mains are modeled using the same dynamic wave equations; pressurized flow handled via surcharge algorithm or optional Preissmann Slot.	Offers multiple solution models per conduit: 1. Full: Standard Saint-Venant equations with Preissmann slot. 2. Pressurised Pipe: For rising mains/inverted siphons; no base flow or slot. 3. Force Main: For long rising mains under low heads; assumes pipe always full. 4. Permeable: For permeable pavements; uses Darcy's Law. 5. Finite Volume: For trans-critical flow with hydraulic jumps.	Verified: SWMM5 applies one unified approach. ICM offers a toolbox of solution models for specific hydraulic conditions. Key Difference: This is ICM's most significant modeling flexibility. A model can use 'Full' for gravity sewers, 'Pressurised Pipe' for rising mains, and 'Finite Volume' for outfalls with supercritical flow, all in one simulation. SWMM5 requires the user to accept a single compromise solution or use workarounds.		
